gene_name,go_term
accA,GO:0006096
accA,GO:0006094
 accB,GO:0006096
 accB,GO:0006094
 accC,GO:0006096
 accC,GO:0006094
 accD,GO:0006096
 accD,GO:0006094
 fabD,GO:0006096
 fabD,GO:0006094
 fabF,GO:0006096
 fabF,GO:0006094
 fabG,GO:0006096
 fabG,GO:0006094
 fabZ,GO:0006096
 fabZ,GO:0006094
accA,GO:0006099
 accB,GO:0006099
 accC,GO:0006099
 accD,GO:0006099
 fabD,GO:0006099
 fabF,GO:0006099
 fabG,GO:0006099
 fabZ,GO:0006099
accA,GO:0006098
 accB,GO:0006098
 accC,GO:0006098
 accD,GO:0006098
 fabD,GO:0006098
 fabF,GO:0006098
 fabG,GO:0006098
 fabZ,GO:0006098
accA,GO:0006000
accA,GO:0006013
 accB,GO:0006000
 accB,GO:0006013
 accC,GO:0006000
 accC,GO:0006013
 accD,GO:0006000
 accD,GO:0006013
 fabD,GO:0006000
 fabD,GO:0006013
 fabF,GO:0006000
 fabF,GO:0006013
 fabG,GO:0006000
 fabG,GO:0006013
 fabZ,GO:0006000
 fabZ,GO:0006013
accA,GO:0006012
 accB,GO:0006012
 accC,GO:0006012
 accD,GO:0006012
 fabD,GO:0006012
 fabF,GO:0006012
 fabG,GO:0006012
 fabZ,GO:0006012
accA,GO:0019852
accA,GO:0019577
accA,GO:0019572
 accB,GO:0019852
 accB,GO:0019577
 accB,GO:0019572
 accC,GO:0019852
 accC,GO:0019577
 accC,GO:0019572
 accD,GO:0019852
 accD,GO:0019577
 accD,GO:0019572
 fabD,GO:0019852
 fabD,GO:0019577
 fabD,GO:0019572
 fabF,GO:0019852
 fabF,GO:0019577
 fabF,GO:0019572
 fabG,GO:0019852
 fabG,GO:0019577
 fabG,GO:0019572
 fabZ,GO:0019852
 fabZ,GO:0019577
 fabZ,GO:0019572
accA,GO:0006633
 accB,GO:0006633
 accC,GO:0006633
 accD,GO:0006633
 fabD,GO:0006633
 fabH,GO:0006633
 fabF,GO:0006633
 fabG,GO:0006633
 fabZ,GO:0006633
 fabK,GO:0006633
accA,GO:0006526
 accB,GO:0006526
 accC,GO:0006526
 accD,GO:0006526
 fabD,GO:0006526
 fabH,GO:0006526
 fabF,GO:0006526
 fabG,GO:0006526
 fabZ,GO:0006526
 fabK,GO:0006526
accA,GO:0006163
accA,GO:0042278
 accB,GO:0006163
 accB,GO:0042278
 accC,GO:0006163
 accC,GO:0042278
 accD,GO:0006163
 accD,GO:0042278
 fabD,GO:0006163
 fabD,GO:0042278
 fabH,GO:0006163
 fabH,GO:0042278
 fabF,GO:0006163
 fabF,GO:0042278
 fabZ,GO:0006163
 fabZ,GO:0042278
 fabK,GO:0006163
 fabK,GO:0042278
 phaB,GO:0006163
 phaB,GO:0042278
accA,GO:0006220
accA,GO:0006213
 accB,GO:0006220
 accB,GO:0006213
 accC,GO:0006220
 accC,GO:0006213
 accD,GO:0006220
 accD,GO:0006213
 fabD,GO:0006220
 fabD,GO:0006213
 fabH,GO:0006220
 fabH,GO:0006213
 fabF,GO:0006220
 fabF,GO:0006213
 fabG,GO:0006220
 fabG,GO:0006213
 fabG,GO:0006220
 fabG,GO:0006213
 fabZ,GO:0006220
 fabZ,GO:0006213
 fabK,GO:0006220
 fabK,GO:0006213
 phaB,GO:0006220
 phaB,GO:0006213
accA,GO:0006522
accA,GO:0006531
accA,GO:0006536
 accB,GO:0006522
 accB,GO:0006531
 accB,GO:0006536
 accC,GO:0006522
 accC,GO:0006531
 accC,GO:0006536
 accD,GO:0006522
 accD,GO:0006531
 accD,GO:0006536
 fabD,GO:0006522
 fabD,GO:0006531
 fabD,GO:0006536
 fabH,GO:0006522
 fabH,GO:0006531
 fabH,GO:0006536
 fabF,GO:0006522
 fabF,GO:0006531
 fabF,GO:0006536
 fabG,GO:0006522
 fabG,GO:0006531
 fabG,GO:0006536
 fabG,GO:0006522
 fabG,GO:0006531
 fabG,GO:0006536
 fabZ,GO:0006522
 fabZ,GO:0006531
 fabZ,GO:0006536
 fabK,GO:0006522
 fabK,GO:0006531
 fabK,GO:0006536
 phaB,GO:0006522
 phaB,GO:0006531
 phaB,GO:0006536
accA,GO:0006544
accA,GO:0006563
accA,GO:0070178
accA,GO:0006566
 accB,GO:0006544
 accB,GO:0006563
 accB,GO:0070178
 accB,GO:0006566
 accC,GO:0006544
 accC,GO:0006563
 accC,GO:0070178
 accC,GO:0006566
 accD,GO:0006544
 accD,GO:0006563
 accD,GO:0070178
 accD,GO:0006566
 fabD,GO:0006544
 fabD,GO:0006563
 fabD,GO:0070178
 fabD,GO:0006566
 fabH,GO:0006544
 fabH,GO:0006563
 fabH,GO:0070178
 fabH,GO:0006566
 fabF,GO:0006544
 fabF,GO:0006563
 fabF,GO:0070178
 fabF,GO:0006566
 fabG,GO:0006544
 fabG,GO:0006563
 fabG,GO:0070178
 fabG,GO:0006566
 fabZ,GO:0006544
 fabZ,GO:0006563
 fabZ,GO:0070178
 fabZ,GO:0006566
 fabK,GO:0006544
 fabK,GO:0006563
 fabK,GO:0070178
 fabK,GO:0006566
 fabM,GO:0006544
 fabM,GO:0006563
 fabM,GO:0070178
 fabM,GO:0006566
accA,GO:0006534
accA,GO:0006555
 fabE,GO:0006534
 fabE,GO:0006555
 accC,GO:0006534
 accC,GO:0006555
 accD,GO:0006534
 accD,GO:0006555
 fabD,GO:0006534
 fabD,GO:0006555
 fabH,GO:0006534
 fabH,GO:0006555
 fabF,GO:0006534
 fabF,GO:0006555
 fabG,GO:0006534
 fabG,GO:0006555
 fabZ,GO:0006534
 fabZ,GO:0006555
 fabK,GO:0006534
 fabK,GO:0006555
accA,GO:0006550
accA,GO:0006552
accA,GO:0006574
 fabE,GO:0006550
 fabE,GO:0006552
 fabE,GO:0006574
 accC,GO:0006550
 accC,GO:0006552
 accC,GO:0006574
 accD,GO:0006550
 accD,GO:0006552
 accD,GO:0006574
 fabD,GO:0006550
 fabD,GO:0006552
 fabD,GO:0006574
 fabH,GO:0006550
 fabH,GO:0006552
 fabH,GO:0006574
 fabF,GO:0006550
 fabF,GO:0006552
 fabF,GO:0006574
 fabG,GO:0006550
 fabG,GO:0006552
 fabG,GO:0006574
 fabZ,GO:0006550
 fabZ,GO:0006552
 fabZ,GO:0006574
 fabK,GO:0006550
 fabK,GO:0006552
 fabK,GO:0006574
accA,GO:0009097
accA,GO:0009098
accA,GO:0009099
 fabE,GO:0009097
 fabE,GO:0009098
 fabE,GO:0009099
 accC,GO:0009097
 accC,GO:0009098
 accC,GO:0009099
 accD,GO:0009097
 accD,GO:0009098
 accD,GO:0009099
 fabD,GO:0009097
 fabD,GO:0009098
 fabD,GO:0009099
 fabH,GO:0009097
 fabH,GO:0009098
 fabH,GO:0009099
 fabF,GO:0009097
 fabF,GO:0009098
 fabF,GO:0009099
 fabG,GO:0009097
 fabG,GO:0009098
 fabG,GO:0009099
 fabZ,GO:0009097
 fabZ,GO:0009098
 fabZ,GO:0009099
 fabK,GO:0009097
 fabK,GO:0009098
 fabK,GO:0009099
accA,GO:0009085
 fabE,GO:0009085
 accC,GO:0009085
 accD,GO:0009085
 fabD,GO:0009085
 fabH,GO:0009085
 fabF,GO:0009085
 fabG,GO:0009085
 fabZ,GO:0009085
 fabK,GO:0009085
accA,GO:0006554
 fabE,GO:0006554
 accC,GO:0006554
 accD,GO:0006554
 fabD,GO:0006554
 fabH,GO:0006554
 fabF,GO:0006554
 fabG,GO:0006554
 fabZ,GO:0006554
 fabK,GO:0006554
accA,GO:0006525
accA,GO:0006560
 fabE,GO:0006525
 fabE,GO:0006560
 accC,GO:0006525
 accC,GO:0006560
 accD,GO:0006525
 accD,GO:0006560
 fabD,GO:0006525
 fabD,GO:0006560
 fabH,GO:0006525
 fabH,GO:0006560
 fabF,GO:0006525
 fabF,GO:0006560
 fabG,GO:0006525
 fabG,GO:0006560
 fabZ,GO:0006525
 fabZ,GO:0006560
 fabK,GO:0006525
 fabK,GO:0006560
accA,GO:1901769
 fabE,GO:1901769
 accC,GO:1901769
 accD,GO:1901769
 fabD,GO:1901769
 fabH,GO:1901769
 fabF,GO:1901769
 fabG,GO:1901769
 fabZ,GO:1901769
 fabK,GO:1901769
accA,GO:0043639
 fabE,GO:0043639
 accC,GO:0043639
 accD,GO:0043639
 fabD,GO:0043639
 fabH,GO:0043639
 fabF,GO:0043639
 fabG,GO:0043639
 fabZ,GO:0043639
 fabK,GO:0043639
accA,GO:0009094
accA,GO:0006571
accA,GO:0000162
 fabE,GO:0009094
 fabE,GO:0006571
 fabE,GO:0000162
 accC,GO:0009094
 accC,GO:0006571
 accC,GO:0000162
 accD,GO:0009094
 accD,GO:0006571
 accD,GO:0000162
 fabD,GO:0009094
 fabD,GO:0006571
 fabD,GO:0000162
 fabH,GO:0009094
 fabH,GO:0006571
 fabH,GO:0000162
 fabF,GO:0009094
 fabF,GO:0006571
 fabF,GO:0000162
 fabG,GO:0009094
 fabG,GO:0006571
 fabG,GO:0000162
 fabZ,GO:0009094
 fabZ,GO:0006571
 fabZ,GO:0000162
 fabK,GO:0009094
 fabK,GO:0006571
 fabK,GO:0000162
accA,GO:0019530
 accB,GO:0019530
 accC,GO:0019530
 accD,GO:0019530
 fabD,GO:0019530
 fabG,GO:0019530
 fabZ,GO:0019530
ackA,GO:0033052
ackA,GO:0019756
 pta,GO:0033052
 pta,GO:0019756
 pfl,GO:0033052
 pfl,GO:0019756
 accA,GO:0033052
 accA,GO:0019756
 accB,GO:0033052
 accB,GO:0019756
 accC,GO:0033052
 accC,GO:0019756
 accD,GO:0033052
 accD,GO:0019756
 ldh,GO:0033052
 ldh,GO:0019756
 gldA,GO:0033052
 gldA,GO:0019756
ackA,GO:0046416
 pta,GO:0046416
 lpdA,GO:0046416
 accA,GO:0046416
 accB,GO:0046416
 accC,GO:0046416
 accD,GO:0046416
 ldh,GO:0046416
ackA,GO:0006749
 pta,GO:0006749
 acoL,GO:0006749
 pfl,GO:0006749
 accA,GO:0006749
 accB,GO:0006749
 accC,GO:0006749
 accD,GO:0006749
 ldh,GO:0006749
 gldA,GO:0006749
ackA,GO:0005982
ackA,GO:0005985
 pta,GO:0005982
 pta,GO:0005985
 lpdA,GO:0005982
 lpdA,GO:0005985
 pflB,GO:0005982
 pflB,GO:0005985
 accA,GO:0005982
 accA,GO:0005985
 accB,GO:0005982
 accB,GO:0005985
 accC,GO:0005982
 accC,GO:0005985
 accD,GO:0005982
 accD,GO:0005985
ackA,GO:0006040
ackA,GO:0009225
 pta,GO:0006040
 pta,GO:0009225
 lpdA,GO:0006040
 lpdA,GO:0009225
 pflB,GO:0006040
 pflB,GO:0009225
 accA,GO:0006040
 accA,GO:0009225
 accB,GO:0006040
 accB,GO:0009225
 accC,GO:0006040
 accC,GO:0009225
 accD,GO:0006040
 accD,GO:0009225
ackA,GO:0019872
 pta,GO:0019872
 lpdA,GO:0019872
 pflB,GO:0019872
 accA,GO:0019872
 accB,GO:0019872
 accC,GO:0019872
 accD,GO:0019872
ackA,GO:0046486
 pta,GO:0046486
 lpdA,GO:0046486
 pflB,GO:0046486
 accA,GO:0046486
 accB,GO:0046486
 accC,GO:0046486
 accD,GO:0046486
ackA,GO:0006020
 pta,GO:0006020
 lpdA,GO:0006020
 pflB,GO:0006020
 accA,GO:0006020
 accB,GO:0006020
 accC,GO:0006020
 accD,GO:0006020
ackA,GO:0006650
 pta,GO:0006650
 lpdA,GO:0006650
 pflB,GO:0006650
 accA,GO:0006650
 accB,GO:0006650
