"CLUSTER","gene_name","MEM.SHIP"
1,"A2M",0.735039552378967
1,"ABCA2",0.81361184688214
1,"ABCA5",0.736899670738518
1,"ABCC3",0.804032698297314
1,"ABCC5",0.518822847581376
1,"ABCC5-AS1",0.804900556875141
1,"ABHD13",0.556803965959069
1,"AC000068.9",0.598081837577836
1,"AC002128.5",0.749954874320752
1,"AC003006.7",0.51248931587791
1,"AC003101.1",0.745162212579821
1,"AC003984.1",0.677373837347358
1,"AC005363.9",0.578216875020068
1,"AC005540.3",0.819262087839815
1,"AC005614.3",0.809190096974391
1,"AC005614.5",0.570952124053349
1,"AC005786.7",0.695901164955844
1,"AC005808.3",0.579173234459954
1,"AC005954.3",0.729651462656228
1,"AC005954.4",0.743022087023369
1,"AC006159.5",0.571326950696642
1,"AC006262.6",0.628795747415751
1,"AC006273.4",0.629158993672594
1,"AC006273.5",0.565136125166988
1,"AC006369.2",0.777424692542051
1,"AC007193.6",0.513576578781683
1,"AC007365.3",0.783351473324984
1,"AC007401.1",0.638351683201202
1,"AC007401.2",0.837275795024476
1,"AC007679.3",0.929214246889931
1,"AC007952.4",0.574993776550739
1,"AC008074.3",0.766641663530101
1,"AC009120.5",0.642941597542965
1,"AC009229.6",0.564824139338356
1,"AC009299.2",0.553643784519944
1,"AC009299.3",0.509167552159425
1,"AC009303.1",0.616279473508911
1,"AC010127.5",0.717300323694734
1,"AC010336.1",0.560293287197135
1,"AC010733.5",0.55800819696324
1,"AC010983.1",0.621853696943148
1,"AC011242.5",0.584990757932315
1,"AC013394.2",0.899917094186301
1,"AC015815.6",0.640925849817019
1,"AC015933.2",0.515459627146356
1,"AC016644.1",0.852118150148465
1,"AC016683.6",0.511718739990184
1,"AC016999.2",0.6029009493057
1,"AC017099.3",0.673553436493093
1,"AC017101.10",0.701415036224377
1,"AC019181.2",0.501046771393072
1,"AC022007.5",0.603969691426014
1,"AC024560.3",0.545037254393753
1,"AC024940.1",0.508792804104819
1,"AC027307.3",0.606789541102214
1,"AC034193.5",0.868617340028778
1,"AC034220.3",0.906200780125958
1,"AC064834.1",0.586863258240645
1,"AC068831.15",0.567005233325059
1,"AC069155.1",0.833191466400147
1,"AC073046.25",0.756876228927292
1,"AC073072.5",0.536718665287898
1,"AC083843.1",0.852460584564249
1,"AC084219.3",0.804779533336325
1,"AC092295.4",0.502267232965348
1,"AC092295.7",0.513518833087242
1,"AC093642.5",0.758778344093636
1,"AC093838.4",0.776730138593801
1,"AC097359.1",0.597961734455679
1,"AC097662.2",0.793872318091396
1,"AC097724.3",0.550756845512363
1,"AC104389.28",0.818756573383231
1,"AC107072.2",0.669823404193902
1,"AC114812.8",0.636699517555601
1,"AC131971.1",0.542586211934338
1,"ACACA",0.625543308082061
1,"ACAD8",0.505866341322438
1,"ACAP1",0.743047689174027
1,"ACOT11",0.548197749823482
1,"ACOX3",0.519369098547266
1,"ACPT",0.512151851138025
1,"ACSL5",0.816737105042473
1,"ACTR3B",0.594241410371913
1,"ACVR2B",0.66001836085194
1,"AD000684.2",0.526044200494249
1,"ADAM17",0.568431659540375
1,"ADAM1A",0.53301327981703
1,"ADAM3B",0.657589587881787
1,"ADAM9",0.742698090371783
1,"ADAMTS1",0.833088429191873
1,"ADAMTS5",0.504652843402595
1,"ADAT2",0.630654282749471
1,"ADCK5",0.687113129426373
1,"ADCY3",0.608248566336187
1,"ADCY6",0.699185688832169
1,"ADCY9",0.756180918701395
1,"ADM",0.724248371425085
1,"ADPGK",0.600749488826069
1,"ADPGK-AS1",0.607755672022539
1,"ADTRP",0.679393112787541
1,"AEN",0.584859077450022
1,"AF124730.4",0.562427250407215
1,"AF129075.5",0.516565707942209
1,"AFG3L1P",0.526276602566773
1,"AGO2",0.649911984697822
1,"AGPAT6",0.851094667982815
1,"AGPAT9",0.747117664245667
1,"AGPS",0.727865099049577
1,"AGRN",0.771665283327349
1,"AHCTF1",0.64314203104181
1,"AHSA2",0.693518247594331
1,"AKAP9",0.818840012406866
1,"AL021977.1",0.524724922725298
1,"AL031320.1",0.708999919070454
1,"AL033381.1",0.548628178286132
1,"AL035406.1",0.582115937889929
1,"AL035610.2",0.536584851082799
1,"AL096677.1",0.572024590900689
1,"AL109761.5",0.836052633239181
1,"AL136376.1",0.57924302844726
1,"AL139385.1",0.52818133358573
1,"AL162497.1",0.643123891499964
1,"AL162759.1",0.662200464922721
1,"AL358781.1",0.604636363261145
