goTerm,Biological.function,Cluster.number,pvalue,size,Genes
GO:0000002,mitochondrial genome maintenance ,Cluster_7,0.00655939,5,MEF2A;MGME1;OPA1;AKT3;LONP1;MRPL17;MPV17;SLC25A4;SLC25A33;TYMP;MGME1;MPV17;OPA1;SLC25A33;TYMP
GO:0000027,ribosomal large subunit assembly ,Cluster_6,0.002271536,6,DDX28;RPL5;RPL3;FASTKD2;RPL12;RPL11;NOP2;PPAN;RPF2;RPL6;MRPL11;RPF1;DHX30;MRPL20;SAMD15;RRS1;BRIX1;MDN1;PPAN-P2RY11;WDR18;RPL23A;NLE1;MRTO4;RPL24;RSL24D1;PPAN;PPAN-P2RY11;RPL12;RPL23A;RPL3;RPL5
GO:0000028,ribosomal small subunit assembly ,Cluster_4,0.000755351,8,ABT1;RPS10-NUDT3;MRPS11;RPS5;RPS27L;ERAL1;MRPS7;RPS15;RRP7A;RPS14;RPS17;RPS19;RPS10;ERAL1;MRPS11;MRPS7;RPS14;RPS15;RPS17;RPS19;RPS5
GO:0000070,mitotic sister chromatid segregation ,Cluster_1,2.12E-07,28,PHF23;SMC4;SMC2;NIPBL;CDC23;CHMP1B;POGZ;NUP62;CHMP1A;NUSAP1;SPDL1;DLGAP5;DIS3L2;KIF23;KIF22;SMC1A;TUBG1;KNSTRN;PSRC1;ESPL1;CEP57L1;KIFC1;ZW10;CHMP4C;CHMP4B;CHMP4A;CHMP6;CHMP7;KPNB1;CHMP5;BECN1;VPS4B;CDCA5;CUL3;VPS4A;MIS12;NCAPG;CDCA8;PDS5B;NCAPH;NSL1;DSN1;CCNB1;RRS1;ANKRD53;PIBF1;NAA50;SPAG5;BOD1;PLK1;INO80;ZWINT;RAB11A;NDC80;CENPE;KIF18B;PRC1;CHMP2B;CHMP2A;PHF13;NCAPD2;NCAPD3;RAN;BECN1;CCNB1;CDC23;CDCA5;CDCA8;CHMP1A;CHMP1B;CHMP7;DLGAP5;KIF22;KIFC1;KNSTRN;KPNB1;MIS12;NAA50;NCAPG;NCAPH;NDC80;NUP62;PHF13;PLK1;PRC1;RRS1;SMC2;SPAG5;VPS4A;VPS4B;ZWINT
GO:0000076,DNA replication checkpoint ,Cluster_1,0.001278367,7,CDT1;CDC45;TIMELESS;HUS1B;RAD17;CDC6;CLSPN;TOPBP1;NAE1;DNA2;ORAOV1;RAD9A;CDC45;CDC6;CDT1;CLSPN;NAE1;RAD9A;TIMELESS
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity ,Cluster_1,0.003706858,15,PSMD10;CEBPA;CCNK;BLM;CCNT2;CDKN1B;CCNT1;CCNH;BCCIP;PTEN;PDGFB;CCNC;PKMYT1;CKS1B;HHEX;CCND2;CDK5RAP1;CCNL2;CDK5RAP3;MEN1;CDKN2D;HEXIM2;GADD45A;PLK1;INCA1;GTF2H1;CDC6;NR2F2;CDC25C;CDC25A;LATS1;LATS2;PSRC1;TFAP4;CCNE2;CCNY;CDC37;CCNG1;CKS2;CCNYL1;MAPRE3;CCNYL3;MNAT1;CDKN3;BCCIP;CCNC;CCNE2;CDC37;CDC6;CDKN1B;CDKN3;CEBPA;CKS2;HEXIM2;MEN1;NR2F2;PKMYT1;PLK1;TFAP4
GO:0000082,G1/S transition of mitotic cell cycle ,Cluster_1,4.99E-06,27,TRIM71;CDKN1B;MCM7;CCNH;MCM8;MCM10;BACH1;PPP6C;MYC;RCC1;PIM2;FBXO5;POLE;ACVR1;CDC25A;LATS1;CDC34;LATS2;TFDP1;DBF4;CCNE2;CCNE1;MCM3;MCM4;MCM5;MCM6;BCAT1;MCM2;PRIM2;PCNA;CUL5;CUL3;PRIM1;CUL1;TYMS;ACVR1B;GSPT1;ORC5;RANBP3L;ORC6;CDC45;ORC3;EIF4E;BRD4;RANBP2;CDKN2D;CDT1;USP26;RANBP3;RRM2;PLK2;RPA2;CDC7;INHBA;CDC6;CUL4A;POLA2;WEE1;CDK6;NASP;CDK4;CDK3;POLE2;CDK2;POLE3;SPDYA;MNAT1;CDKN3;CCNE1;CCNE2;CDC45;CDC6;CDKN1B;CDKN3;CDT1;CUL4A;GSPT1;MCM10;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;NASP;ORC6;POLA2;POLE2;PPP6C;PRIM1;RPA2;RRM2;SPDYA;TFDP1;TYMS
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle ,Cluster_1,0.004066939,7,CDT1;PCNA;RRM2;ESRRB;CDC6;TYMS;BACH1;CDC45;TFDP1;CCNE1;ID2;FBXO5;E2F7;BRD4;CCNE1;CDC45;CDC6;CDT1;RRM2;TFDP1;TYMS
GO:0000086,G2/M transition of mitotic cell cycle ,Cluster_1,0.002367965,25,YWHAE;CCNH;CETN2;CEP164;KDM8;PPP2R2A;FOXM1;BACH1;PPP1CB;ACTR1A;TUBA1A;PPP2R1A;NEK2;BTRC;CEP290;NINL;YWHAG;RAB8A;CDK5RAP2;SKP1;OFD1;HSP90AA1;BORA;CEP135;TUBB;HAUS4;HAUS3;CSNK1E;HAUS5;CDC25C;MASTL;TUBG1;DYNLL1;CDC25A;TUBA4A;HAUS2;HAUS1;CCNA2;LATS1;CCNY;AKAP9;PPP1R12B;PLCB1;MAPRE1;AJUBA;UBA52;OPTN;SDCCAG8;DCTN2;DCTN1;SSNA1;DCTN3;CUL1;USH1C;PKMYT1;ARPP19;AURKA;CCNB2;CCNB1;UBB;HAUS8;PRKAR2B;HAUS7;UBC;PCNT;RPS27A;CEP76;CEP78;PLK4;DYNC1H1;ODF2;NDE1;MBD1;CEP152;PLK1;FBXL15;TUBB4B;NEDD1;WEE1;CDK2;CDK1;CEP41;MNAT1;CDK14;TAF2;ACTR1A;ARPP19;AURKA;CCNA2;CCNB1;CDK1;CEP76;DCTN1;HAUS1;HAUS2;HAUS5;HAUS7;HAUS8;HSP90AA1;MAPRE1;MASTL;NDE1;ODF2;OPTN;PKMYT1;PLK1;PPP1CB;PPP2R1A;SKP1;YWHAG
GO:0000097,sulfur amino acid biosynthetic process ,Cluster_7,0.001546279,4,MTRR;MTHFD1;CBS;MTR;GGT1;GGT1;MTHFD1;MTR;MTRR
